Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?,Clothing Type
11,11100110110010000000,Backpack_Armor_BPBattery,1000,backpack_mod_BPBatteryCC85Dmg;backpack_mod_BPBatteryCC80;backpack_mod_BPBatteryCC85Jump,0,Backpack
11,11100110110010000000,Backpack_Armor_BPBedroll,1000,backpack_mod_BPBedrollCC30;backpack_mod_BPBedrollCC35;backpack_mod_BPBedrollCC40;backpack_mod_BPBedrollCC45CHR,0,Backpack
11,11100110110010000000,Backpack_Armor_BPChem,1000,backpack_mod_BPChemCC55;backpack_mod_BPChemCC60;backpack_mod_BPChemCC65;backpack_mod_BPChemCC70,0,Backpack
11,11100110110010000000,Backpack_Armor_BPDuffle,1000,backpack_mod_BPDuffleColorDefault;backpack_mod_BPDuffleCC45;backpack_mod_BPDuffleColorBlue;backpack_mod_BPDuffleCC40;backpack_mod_BPDuffleDR10;backpack_mod_BPDuffleDR20;backpack_mod_BPDuffleCC50,0,Backpack
11,11100110110010000000,Backpack_Armor_BPFusion,1000,backpack_mod_BPFusionCC100WaterRadsPlus;backpack_mod_BPFusionColorPink;backpack_mod_BPFusionColorGray;backpack_mod_BPFusionColorTeal;backpack_mod_BPFusionDR50;backpack_mod_BPFusionColorYellow;backpack_mod_BPFusionColorGreen;backpack_mod_BPFusionColorRed;backpack_mod_BPFusionColorPurple;backpack_mod_BPFusionColorOrange;backpack_mod_BPFusionCC95;backpack_mod_BPFusionCC100Plus;backpack_mod_BPFusionColorWhite;backpack_mod_BPFusionColorBlue;backpack_mod_BPFusionCC90;backpack_mod_BPFusionCC85;backpack_mod_BPFusionCC100WaterRads;backpack_mod_BPFusionDR30,0,Backpack
11,11100110110010000000,Backpack_Armor_BPLeatherShoulderBag,1000,backpack_mod_BPLeatherShoulderBagColorDefault;backpack_mod_BPLeatherShoulderBagDR05;backpack_mod_BPLeatherShoulderBagCC25;backpack_mod_BPLeatherShoulderBagCC20;backpack_mod_BPLeatherShoulderBagDR15;backpack_mod_BPLeatherShoulderBagColorBlack,0,Backpack
11,11100110110010000000,Backpack_Armor_BPMailBag,1000,backpack_mod_BPMailBagCC25;backpack_mod_BPMailBagCC15;backpack_mod_BPMailBagDR02;backpack_mod_BPMailBagDR10;backpack_mod_BPMailBagCC20,0,Backpack
11,11100110110010000000,Backpack_Armor_BPMakeshift,1000,backpack_mod_BPMakeshiftDR10;backpack_mod_BPMakeshiftCC40Water;backpack_mod_BPMakeshiftCC35;backpack_mod_BPMakeshiftCC40;backpack_mod_BPMakeshiftCC40Luck;backpack_mod_BPMakeshiftDR20;backpack_mod_BPMakeshiftCC30,0,Backpack
11,11100110110010000000,Backpack_Armor_BPMercenary,1000,backpack_mod_BPMercenaryCC85Reload;backpack_mod_BPMercenaryCC85;backpack_mod_BPMercenaryDR20Plus;backpack_mod_BPMercenaryDR10;backpack_mod_BPMercenaryCC80;backpack_mod_BPMercenaryColorGreen;backpack_mod_BPMercenaryColorBrown;backpack_mod_BPMercenaryColorDefault,0,Backpack
11,11100110110010000000,Backpack_Armor_BPMilitary,1000,backpack_mod_BPMilitaryCC80Endurance;backpack_mod_BPMilitaryColorGreen;backpack_mod_BPMilitaryCC75;backpack_mod_BPMilitaryColorRuby;backpack_mod_BPMilitaryColorBlack;backpack_mod_BPMilitaryCC80Reload;backpack_mod_BPMilitaryColorDefault;backpack_mod_BPMilitaryDR10;backpack_mod_BPMilitaryCC70;backpack_mod_BPMilitaryDR30Plus,0,Backpack
11,11100110110010000000,Backpack_Armor_BPMountaineer,1000,backpack_mod_BPMountaineerCC45;backpack_mod_BPMountaineerColorRose;backpack_mod_BPMountaineerColorBlue;backpack_mod_BPMountaineerColorDefault;backpack_mod_BPMountaineerCC50,0,Backpack
11,11100110110010000000,Backpack_Armor_BPMutant,1000,backpack_mod_BPMutantCC50;backpack_mod_BPMutantCC60;backpack_mod_BPMutantCC65Unarmed;backpack_mod_BPMutantCC65Lucky;backpack_mod_BPMutantDR30;backpack_mod_BPMutantDR40;backpack_mod_BPMutantCC55,0,Backpack
11,11100110110010000000,Backpack_Armor_BPNuka,1000,backpack_mod_BPNukaCC65Blue;backpack_mod_BPNukaCC60;backpack_mod_BPNukaCC65Rush;backpack_mod_BPNukaCC65Grape;backpack_mod_BPNukaCC70Power;backpack_mod_BPNukaCC70Lixir;backpack_mod_BPNukaCC65Quartz;backpack_mod_BPNukaCC70Cooler;backpack_mod_BPNukaCC70Punch;backpack_mod_BPNukaCC65Victory;backpack_mod_BPNukaCC65Wild;backpack_mod_BPNukaCC70NukaGold,0,Backpack
11,11100110110010000000,Backpack_Armor_BPOutcast,1000,backpack_mod_BPOutcastCC35;backpack_mod_BPOutcastDR05;backpack_mod_BPOutcastColorTan;backpack_mod_BPOutcastCC30;backpack_mod_BPOutcastCC40;backpack_mod_BPOutcastDR20;backpack_mod_BPOutcastCC25;backpack_mod_BPOutcastColorDefault,0,Backpack
11,11100110110010000000,Backpack_Armor_BPRadio,1000,backpack_mod_BPRadioCC50;backpack_mod_BPRadioCC55;backpack_mod_BPRadioCC60;backpack_mod_BPRadioCC65,0,Backpack
11,11100110110010000000,Backpack_Armor_BPRaider,1000,backpack_mod_BPRaiderCC35;backpack_mod_BPRaiderDR30;backpack_mod_BPRaiderStrapless;backpack_mod_BPRaiderStrapped;backpack_mod_BPRaiderCC30;backpack_mod_BPRaiderDR10,0,Backpack
11,11100110110010000000,Backpack_Armor_BPScribe,1000,backpack_mod_BPScribeCC70;backpack_mod_BPScribeCC65;backpack_mod_BPScribeStraps;backpack_mod_BPScribeStrapless;backpack_mod_BPScribeCC60,0,Backpack
11,11100110110010000000,Backpack_Armor_BPShoulder,1000,backpack_mod_BPShoulderCC20;backpack_mod_BPShoulderCC10;backpack_mod_BPShoulderCC15,0,Backpack
11,11100110110010000000,Backpack_Armor_BPSling,1000,backpack_mod_BPSlingCC40;backpack_mod_BPSlingCC45;backpack_mod_BPSlingCC50,0,Backpack
11,11100110110010000000,Backpack_Armor_BPSquire,1000,backpack_mod_BPSquireDR30;backpack_mod_BPSquireDR20;backpack_mod_BPSquireDR10;backpack_mod_BPSquireCC50;backpack_mod_BPSquireStraps;backpack_mod_BPSquireStrapless;backpack_mod_BPSquireCC55;backpack_mod_BPSquireColorDefault;backpack_mod_BPSquireColorGreen;backpack_mod_BPSquireCC60Plus;backpack_mod_BPSquireColorBlack;backpack_mod_BPSquireCC60,0,Backpack
11,11100110110010000000,Backpack_Armor_BPStealth,1000,backpack_mod_BPStealthCC65Plus;backpack_mod_BPStealthCC55;backpack_mod_BPStealthCC60Sneak;backpack_mod_BPStealthCC65Rads;backpack_mod_BPStealthCC65RadsWater,0,Backpack
11,11100110110010000000,Backpack_Armor_BPTinker,1000,backpack_mod_BPTinkerCC55;backpack_mod_BPTinkerCC45;backpack_mod_BPTinkerCC55Water;backpack_mod_BPTinkerCC50Box;backpack_mod_BPTinkerStraps;backpack_mod_BPTinkerStrapless;backpack_mod_BPTinkerCC40,0,Backpack
11,11100110110010000000,Backpack_Armor_BPTrapper,1000,backpack_mod_BPTrapperCC35;backpack_mod_BPTrapperStraps;backpack_mod_BPTrapperStrapless;backpack_mod_BPTrapperDR30;backpack_mod_BPTrapperCC40;backpack_mod_BPTrapperDR05;backpack_mod_BPTrapperDR15,0,Backpack
11,11100110110010000000,Backpack_Armor_BPVault,1000,backpack_mod_BPVaultCC90;backpack_mod_BPVaultCC95;backpack_mod_BPVaultCC100Sneak;backpack_mod_BPVaultCC100Guns;backpack_mod_BPVaultCC100Charisma;backpack_mod_BPVaultCC100Energy,0,Backpack
11,11100110110010000000,Backpack_Armor_BPWastelander,1000,backpack_mod_BPWastelanderCC60;backpack_mod_BPWastelanderCC60Water;backpack_mod_BPWastelanderCC60WaterRads;backpack_mod_BPWastelanderCC55;backpack_mod_BPWastelanderCC50,0,Backpack
11,11100110110010000000,Backpack_Armor_BPWoodsman,1000,backpack_mod_BPWoodsmanCC80;backpack_mod_BPWoodsmanCC85Knife;backpack_mod_BPWoodsmanCC90Sneak;backpack_mod_BPWoodsmanCC85Water;backpack_mod_BPWoodsmanColorOrangeRust;backpack_mod_BPWoodsmanColorDefaultBlack;backpack_mod_BPWoodsmanCC75,0,Backpack
