Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?,Clothing Type
11,00011000000000000000,HNSiriusArmor01,20,,0,Bodysuit
11,00011000000000000000,HNSiriusArmor01HH,20,,0,Bodysuit
11,00011000000000000000,HNSiriusArmorAurora01,20,,0,Bodysuit
11,00011000000000000000,HNSiriusArmorAurora01HHLite,20,,0,Bodysuit
11,00011000000000000000,HNSiriusArmorSunFlare01,20,,0,Bodysuit
11,00011000000000000000,HNSiriusArmorSunFlare01HHLite,20,,0,Bodysuit
11,00011000000000000000,HNSiriusGloves,20,,0,Gloves
11,00011000000000000000,HNSiriusGlovesAurora,20,,0,Gloves
11,00011000000000000000,HNSiriusGlovesSunFlare,20,,0,Gloves
11,00011000000000000000,HNSiriusHelmet,20,,0,Hat w/Full Mask (No Hair)
11,00011000000000000000,HNSiriusHelmetAurora,20,,0,Hat w/Full Mask (No Hair)
11,00011000000000000000,HNSiriusHelmetClosed,20,,0,Hat w/Full Mask (No Hair)
11,00011000000000000000,HNSiriusHelmetClosedAurora,20,,0,Hat w/Full Mask (No Hair)
11,00011000000000000000,HNSiriusHelmetClosedSunFlare,20,,0,Hat w/Full Mask (No Hair)
11,00011000000000000000,HNSiriusHelmetSunFlare,20,,0,Hat w/Full Mask (No Hair)
