Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?,Clothing Type
10,00000010000100000010,AR_JC2_Bikini,0,OM_JC2_Bikini1;OM_JC2_Bikini2;OM_JC2_Bikini3;OM_JC2_Bikini4;OM_JC2_Bikini5;OM_JC2_Bikini6;OM_JC2_Bikini7;OM_JC2_Bikini8;OM_JC2_Bikini9;OM_JC2_Bikini10;OM_JC2_Bikini11;OM_JC2_Bikini12;OM_JC2_Bikini13,0,Swimsuit (One-piece)
10,01001010000110001010,AR_JC2_BodyTape,0,OM_JC2_BodyTape1;OM_JC2_BodyTape2;OM_JC2_BodyTape3;OM_JC2_BodyTape4;OM_JC2_BodyTape5;OM_JC2_BodyTape6,0,Harness
10,00001010000100001000,AR_JC2_Bra,0,OM_JC2_Bra1;OM_JC2_Bra2;OM_JC2_Bra3;OM_JC2_Bra4;OM_JC2_Bra5;OM_JC2_Bra6;OM_JC2_Bra7;OM_JC2_Bra8,0,Bra
10,00000010011000000100,AR_JC2_Bracelets,0,,0,Bracers LR
10,00001010000100001000,AR_JC2_BraV2,0,OM_JC2_Bra1;OM_JC2_Bra2;OM_JC2_Bra3;OM_JC2_Bra4;OM_JC2_Bra5;OM_JC2_Bra6;OM_JC2_Bra7;OM_JC2_Bra8,0,Bra
10,00000010000000000000,AR_JC2_Bunni,0,OM_JC2_Bunni1;OM_JC2_Bunni2;OM_JC2_Bunni3;OM_JC2_Bunni4;OM_JC2_Bunni5;OM_JC2_Bunni6;OM_JC2_Bunni7;OM_JC2_Bunni8,0,Hat (Hair)
10,00001010000000001000,AR_JC2_BunniCollar,0,,0,Necklace
10,00001010000000001000,AR_JC2_BunniHeels,0,,0,Shoes & Body
10,00001010000000001000,AR_JC2_BunniLeggings,0,OM_JC2_BunniLeggings1;OM_JC2_BunniLeggings2;OM_JC2_BunniLeggings3,0,"High Rise Long Underpants (Legs, Pelvis, Abdomen Underwear)"
10,00001010000000001000,AR_JC2_BunniLeggingsForHeels,0,OM_JC2_BunniLeggings1;OM_JC2_BunniLeggings2;OM_JC2_BunniLeggings3,0,"High Rise Long Underpants (Legs, Pelvis, Abdomen Underwear)"
10,00001010000000001000,AR_JC2_BunniPanties,0,OM_JC2_BunniPanties1;OM_JC2_BunniPanties2;OM_JC2_BunniPanties3;OM_JC2_BunniPanties4,0,Panties/Briefs
10,00001010000000001000,AR_JC2_BunniPasties,0,,1,Bra
10,00001010000000001000,AR_JC2_BunniPastiesHeart,0,,1,Bra
10,00001010000000001000,AR_JC2_BunniTop,0,,0,Kidney Belt
