Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?,Clothing Type
10,10000010000111000010,TERABikini1,0,,0,Bra & Panties
10,10000010000111000010,TERABikini2,0,,0,Bra & Panties
10,10000010000111000010,TERABikini3,0,,0,Bra & Panties
10,10000010000111000010,TERABikini4,0,,0,Bra & Panties
10,10000010000111000010,TERAButterfly,0,,0,Swimsuit (One-piece)
10,00000010000000000000,TERADucky,0,,0,Kidney Belt
10,10000010000111000010,TERAHighElf,0,,0,Swimsuit (One-piece)
10,10000010000111000010,TERALLowerArmBand,0,,0,Bracelet L
10,10000010000111000010,TERALUpperArmBand,0,,0,Arm Band L
10,10000010000111000010,TERAMonokini,0,,0,Swimsuit (One-piece)
10,10000010000111000010,TERANavelDecor,0,,0,"Jewelry, Abdomen"
10,10000010000111000010,TERANecklace,0,,0,Necklace
10,10000010000111000010,TERARLowerArmBand,0,,0,Bracelet R
10,10000010000111000010,TERARUpperArmBand,0,,0,Arm Band R
