Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?,Clothing Type
11,01110101100000000000,000Armor_ALICEVest,0,,0,
11,01110101100000000000,000Armor_ALICEVestBackpack,0,,0,
11,01110101100000000000,000Armor_ALICEVestRadioman,0,,0,
11,01110101100000000000,000Armor_FlakVest,0,,0,
11,01110101100000000000,000Armor_GasmaskM17,0,,0,Face Mask
11,01110101100000000000,000Armor_Helmet_WoodlandM81,0,,0,Hat (Hair)
11,01110101100000000000,000Armor_PASGT_Desert,0,,0,Hat (Hair)
11,01110101100000000000,000Armor_PASGT_DesertGasmask,0,,0,Hat w/Full Mask (Hair)
11,01110101100000000000,000Armor_PASGT_DesertGoggles,0,,0,Hat w/Eyewear (Hair)
11,01110101100000000000,000Armor_PASGT_DesertNightGasmask,0,,0,Hat w/Full Mask (Hair)
11,01110101100000000000,000Armor_PASGT_DesNig,0,,0,Hat (Hair)
11,01110101100000000000,000Armor_PASGT_NoCover,0,,0,Hat (Hair)
11,01110101100000000000,000Armor_PASGT_Urban,0,,0,Hat (Hair)
11,01110101100000000000,000Armor_PASGT_UrbanGasmask,0,,0,Hat w/Full Mask (Hair)
11,01110101100000000000,000Armor_PASGT_UrbanGoggles,0,,0,Hat w/Eyewear (Hair)
11,01110101100000000000,000Armor_PASGT_WoodlandM81,0,,0,Hat (Hair)
11,01110101100000000000,000Armor_PASGT_WoodlandM81Gasmask,0,,0,Hat w/Full Mask (Hair)
11,01110101100000000000,000Armor_PASGT_WoodlandM81Goggles,0,,0,Hat w/Eyewear (Hair)
11,01110101100000000000,000Armor_USA_Field_Desert,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000Armor_USA_Field_HalfDesert,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000Armor_USA_Field_Urban,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000Armor_USA_Field_Woodland,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesArmyBeret,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesArmyGreenBeret,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesArmyRedBeret,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesBDUDesert,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesBDUDesertShortSleeves,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesBDUUrban,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesBDUWoodland,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesBDUWoodlandShortSleeves,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesBoonieDesert,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesBoonieUrban,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesBoonieWoodland,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesGunnersBeret,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesPatrolCapDesert,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesPatrolCapUrban,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesPatrolCapWoodland,0,,0,Hat (Hair)
11,01110101100000000000,000ClothesUsArmyFatigues1stLeutenant,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatigues2ndLeutenant,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesCaptain,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesColonel,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesCorporal,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesDesert,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesDesertShortSleeves,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesGeneral,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesLeutColonel,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesMajor,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesMasterSergeant,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesSergeant,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesSergeant1st,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesStaffSergeant,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesWoodland,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUsArmyFatiguesWoodlandShortSleeves,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUSGeneralSuit,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000ClothesUtilityCapWoodland,0,,0,Hat (Hair)
11,01110101100000000000,000Clothes_NightDesertSuit,0,,0,Fully Clothed (Pants & Sleeves)
11,01110101100000000000,000Clothes_USGeneral_Hat,0,,0,Hat (Hair)
