Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?,Clothing Type
10,00011101000000010000,Vtaw_Miranda_Arms,50,,0,Arm Band LR
10,11111111100010101000,Vtaw_Miranda_Belt,50,,0,Belt
10,00011101000000010000,Vtaw_Miranda_Outfit,50,,0,Bodysuit
10,00011101000000010000,Vtaw_Miranda_Pants,50,,0,Long Pants (Underwear Visible)
10,00011101000000010000,Vtaw_Miranda_Shoes,50,,0,
10,00011101000000010000,Vtaw_Miranda_Top,50,,0,Tank Top
10,00011101000000010000,Vtaw_Miranda_TopCleavage,50,,0,Tank Top
10,00011101000000010000,Vtaw_Miranda_TopV2,50,,0,Tank Top
10,00011101000000010000,Vtaw_Miranda_TopV3,50,,1,Tank Top
10,00011101000000010000,Vtaw_Miranda_TopV4,50,,0,Waist Wrap
