Sex , Occupation           , Form ID; Form ID; Form ID
# compacted form IDs
11  , 11100110011110001000 , FE000BF5
11  , 11100110011110001000 , FE000D0E
11  , 11100110011110001000 , FE000A20
11  , 11100110011110001000 , FE000062
11  , 11100110011110001000 , FE0003A6
11  , 11100110011110001000 , FE000048
11  , 11100110011110001000 , FE000A68
11  , 11100110011110001000 , FE000E63
11  , 11100110011110001000 , FE000DFC
11  , 11100110011110001000 , FE000AE6
11  , 11100110011110001000 , FE000CD4
11  , 11100110011110001000 , FE000E89
11  , 11100110011110001000 , FE000AFC
11  , 11100110011110001000 , FE00007E
11  , 11100110011110001000 , FE000070
11  , 11100110011110001000 , FE000D93
11  , 11100110011110001000 , FE000CA9
11  , 11100110011110001000 , FE0003CE
11  , 11100110011110001000 , FE000BE3
11  , 00000010001010000001 , FE000E38 # junkie's chem stash
11  , 01100110100000101000 , FE000D3E # military duffle
11  , 01100110100000101000 , FE000A70 # mercenary's rucksack
11  , 01100110100000101000 , FE000AB0 # military backpack
11  , 01100110100000101000 , FE000D5F # manpack portable radio transceiver
11  , 10000010000010000000 , FE0003B0 # raider's harnessed metal container
11  , 00000000100000000000 , FE00007B # scribe's backpack
11  , 00000000100000000000 , FE000F9C # squire's backpack
11  , 00000000000000000100 , FE000D93 # vault-tec utility backpack
11  , 00000000000000000100 , FE000C01 # vault 75 jumpsuit
11  , 00000000000000000100 , FE000BFE # armored vault 95 jumpsuit
