Sex , Occupation           , Form ID; Form ID; Form ID
# Male and female.
#
# Railroad agents (not runaways),
# Minutemen, Institute soldiers (not assassins),
# Gunners, and BoS soldiers & support.
11  , 01110101100000000000 , 010026AE
11  , 01110101100000000000 , 010072FD
11  , 01110101100000000000 , 010072FF
11  , 01110101100000000000 , 01001742
11  , 01110101100000000000 , 01003D83
11  , 01110101100000000000 , 01003D95
11  , 01110101100000000000 , 01003D85
11  , 01110101100000000000 , 01003D87
11  , 01110101100000000000 , 01003D89
11  , 01110101100000000000 , 01003D8B
11  , 01110101100000000000 , 01001EEC
11  , 01110101100000000000 , 01006B5E
11  , 01110101100000000000 , 01003D8D
11  , 01110101100000000000 , 01003D8F
11  , 01110101100000000000 , 01003D91
11  , 01110101100000000000 , 01003D93
11  , 01110101100000000000 , 01003D97
11  , 01110101100000000000 , 01003D99
11  , 01110101100000000000 , 01000F9A
11  , 01110101100000000000 , 01006B5C
11  , 01110101100000000000 , 01001EF2
11  , 01110101100000000000 , 010063BC
11  , 01110101100000000000 , 01001EF0
11  , 01110101100000000000 , 01006B5A
11  , 01110101100000000000 , 01001EE9
11  , 01110101100000000000 , 0100173E
11  , 01110101100000000000 , 01006B58
11  , 01110101100000000000 , 01001746
11  , 01110101100000000000 , 01001EEE
11  , 01110101100000000000 , 01001744
11  , 01110101100000000000 , 01004CE6
11  , 01110101100000000000 , 01002E4A
11  , 01110101100000000000 , 01001EE3
11  , 01110101100000000000 , 01001EE5
11  , 01110101100000000000 , 01001EE7
11  , 01110101100000000000 , 01000F9C
11  , 01110101100000000000 , 01004CE5
11  , 01110101100000000000 , 01001EF4
11  , 01110101100000000000 , 01000F9E
11  , 01110101100000000000 , 01004540
11  , 01110101100000000000 , 01005487
11  , 01110101100000000000 , 01004544
11  , 01110101100000000000 , 0100173D
11  , 01110101100000000000 , 0100173B
11  , 01110101100000000000 , 01002E4C
11  , 01110101100000000000 , 01007A9E
11  , 01110101100000000000 , 01001EE1
11  , 01110101100000000000 , 01007AA0
11  , 01110101100000000000 , 01001739
11  , 01110101100000000000 , 01007A9C
11  , 01110101100000000000 , 01004546
11  , 01110101100000000000 , 01001EF6
11  , 01110101100000000000 , 01004542
11  , 01110101100000000000 , 01001EF9
11  , 01110101100000000000 , 01001EFB
11  , 01110101100000000000 , 01001740
11  , 01110101100000000000 , 01004CE8
