Sex , Occupation           , Form ID; Form ID; Form ID
10  , 11110010110011101000 , FE148803
10  , 11110010110011101000 , FE148850
10  , 11110010110011101000 , FE148861
10  , 11110010110011101000 , FE148860
10  , 11110010110011101000 , FE14882F

# BoS
11  , 00000001100000000000 , FE148838
11  , 00000001100000000000 , FE14882C
11  , 00000001100000000000 , FE148840
11  , 00000001100000000000 , FE148841

11  , 11110010110011101000 , FE148848
11  , 11110010110011101000 , FE148858
11  , 11110010110011101000 , FE148859
11  , 11110010110011101000 , FE14885B
11  , 11110010110011101000 , FE14885A
11  , 11110010110011101000 , FE148863
11  , 11110010110011101000 , FE148862
11  , 11110010110011101000 , FE148864
11  , 11110010110011101000 , FE148865
11  , 11110010110011101000 , FE148866
11  , 11110010110011101000 , FE148829
11  , 11110010110011101000 , FE14881D
11  , 11110010110011101000 , FE148826
