ArmorFormID...                      , OmodFormID...
0200174E                            , 02001F13;02001F14;020026C5;020026C6;0200CEEC;0200CEED;0200CEEE;0200CEEF;0200CEF0;0200CEF1;0200CEF2;0200CEF3;0200CEF4;0200CEF5;0200CEF6;0200CEF7;0200CEF8;0200CEF9
0200174C                            , 02001EFF;02001F00;020026C3;020026C4;0200C744;0200C745;0200C746;0200C747;0200C748;0200C749;0200C74A;0200C74B;0200C74C;0200C74D;0200C74E;0200C74F;0200C750;0200C751
02000FA9;020036D7;020036D8;0200CF16 , 02002EAE;02002EAF
020026E8                            , 02002F5A;02002F5B
02001748;0200174A;02003646;02003647 , 02002EB5;02002EB6
020026E4;020026E6                   , 02002700;02002701;02002702;02002703;02002704;02002705;02002706;02002707;02002708;02002709;0200270A;0200270B;0200270C;0200270D;0200270E;0200270F;02002F60
02000FA7;020026EB                   , 02001F02;02002F56;0200A8A0;0200A8A1;0200A8A2;0200A8A3;0200A8A4;0200A8A5;0200B046;0200B7E2
020063F7                            , 020026AD;02002F10;02007332;02007336;0200D6BC;0200D6BD;0200D6BE;0200D6BF;0200D6C0;0200D6C1
020091BE                            , 02002EBC;02002EBD
02000FAB                            , 020026CF;020026D0;020026D1;020026D2;0200BF8E;0200BF8F;0200BF90;0200BF91;0200BF92;0200BF93;0200BF94
02008A1D                            , 02002E90;02002E91;02002E92;02002E93;02002E94;02002E95;02002E96;02002E97;02008A1B;02008A1C
02001746;02001EF9                   , 02002EC3;02002EC4
02002F62                            , 02002F72;02002F73;02002F74;02002F75;02002F76;02002F77;02002F78;02002F79;02002F7A;02002F7B;02002F7C;02002F7D;02002F7E;02002F8F;02002F90
02000F9B;02000FA3;02000FA5;02007AD2 , 020026B2;020026B3;020026B4;02002E3F;02002E40;02002E41;02002E42;02002E47;02002E4A;02002E4D;02002E50;02003682;02003683;02003684;02003685;02007AD7;02007AD8
02000F9F;02002F95                   , 020026BB;020026BC;020026BD;02002E5B;02002E5C;02002E5D;02002E5E;02002E5F;02002E60;02002E61;02002E62;02002E63;02003679;0200367A;0200367B;0200367C;0200367D;02007ADB;02007ADD
02001750;02002F93;02003642;020063F3 , 02001F05;02001F08;02001F0B;02001F0E;02001F11;02002E76;02002E77;02002E78;02002E79;02002E7A;02002E7B;02002E7C;02002E7D;02002E7E;0200364D;0200364E;020063FD
02008A22                            , 02002EA4;02002EA5;02002EA6
02003644                            , 020026D9;020026DA;02002E34;02002E35;02002E36;02002EC8;0200A0F8;0200A0F9;0200A0FA;0200A0FB;0200BF80;0200BF81;0200BF82
