ArmorFormID... , OmodFormID...
01005750 , 01005755;01005756;01005757
0100382A , 010047E9;010047EA;010047EB;010047EC;010047ED;010047EE
01003828 , 010047FC;010047FD;010047FE;010047FF;01004800;01004801
01003DB6;01006BA7;01007350;01007356 , 010063E4;010063E5;010063E6;010063E7;010063E8;010063E9;010063EA;010063EB;010063EC;010063ED;01006408
010063FD;0100736D;0100736E , 010063FE;010063FF;01006400;01006409;0100640A
01001FC3;01002767;01002769;0100276B;01002FA4;0100378F;01003F2E;01003F2F;01003F3B;01003F3C;01003F3D;01003F3E;01003F41;01003F42 , 01002787;01002788;01002789;0100278A;0100278B;0100278C;0100278D;0100376A;0100376B;0100376C;0100376D
0100276D , 0100278E;0100278F;01002790;01002791;01002792;01002793;01002794;01003776;01003777;01003778;01003779
01001FC5 , 01002795;01002796;01002797;01002798;01002799;0100279A;0100279B;0100377A;0100377B;0100377C;0100377D
010017DE;01001FC7;01002773;01002FA1 , 0100279C;0100279D;0100279E;0100279F;010027A0;010027A1;010027A2;0100377E;0100377F;01003780;01003781
01003FA2;01003FE9;01003FEB;01003FEF , 01004757;01004758;01004759
01002E15 , 01002E44;01002E45;01002E46;01002E47;01002E48
0100173A;0100B08B , 01002E31;01002E32;01002E33;01002E34;01002E35
01001742 , 01002E49;01002E4A;01002E4B;01002E4C;01002E4D
01001743 , 01002E4E;01002E4F;01002E50;01002E51;01002E52
01001744 , 01002E53;01002E54;01002E55;01002E56;01002E57
01001745;0100B08E , 01002E58;01002E59;01002E5A;01002E5B;01002E5C
01000F9A;0100267B , 01000FA0;01002E26;01002E27;01002E28;01002E29
01001747 , 01002E2B;01002E2C;01002E2D;01002E2E;01002E2F
010027DE;01002FD2;01002FD4;01002FD6;01003014 , 010027E3;010027E4;010037D1;010037D2;010037D3;010037D4;010037D5;010037D6;010037D7;010037D8;010037D9;010037DA;010037DB;010037DC;010037DD
01004747 , 0100475D;0100475E;0100475F
01001FDF;01002FCF , 010047CD;010047CE;010047CF;010047D0
0100A8E9;0100A8EB;0100B091;0100B093 , 01001EED;01001EEE;01001EEF;01001EF0;01001EF1;01001EF2
0100A132 , 0100174B;01001F0D;01001F0E;01001F0F;01001F10;01001F11;01001F12;01001F13;01001F14;01001F15;01001F16;01001F17;01001F18;01001F19;01001F1A;01001F1B;01001F1C;01001F1D;01001F1E;01001F1F;0100A13D;0100A13E
01002005 , 01005766;01005767;01005768;0100576D
01001FFF;0100A136 , 01001757;01001758;01001759;0100175A;0100175B;0100175C;0100175D;0100175E;0100175F;01001760;0100A13F;0100A140
01005C29 , 01005C33;01005C34;01005C36
01005C3D , 01005C32;01005C35
01001FF6 , 010047D6;010047D7;010047D8;010047D9
01004552;01004556;01007352 , 01007360;01007361;01007362;01007363;01007364;01007365;010082BC
01001FF9;01001FFC;0100474A , 010017E1;01004760;01004761;01004762;01004764;01004765
01001FF9;01001FFC;0100474A , 010017E1;01004760;01004761;01004762;01004764;01004765;0100476A;0100476B;0100476C
01003FA5 , 010017E6;010017E7;010017E8;0100475A;0100475B;0100475C
01001FCF;01001FD1;01008A58 , 0100176A;0100176B;0100176C;0100176D;0100176E;0100176F;01001770;01001771;010017CE
01001FD3;01001FD5;01001FD7;01001FD9;01008A5A , 01001748;01001786;01001787;01001788;01001789;0100178A;0100178B;0100178C;0100178D;0100178E;0100178F;01001790;01001791;010017D1;0100A14B;0100A14C
01001FDB;01001FDD;010091F6 , 010017A7;010017A8;010017A9;010017AA;010017AB;010017AC;010017AD
010091F7;01009996 , 010017BD;010017BE;010017BF;010017C0;010017C1;010017C2;010017C3;010017C4
010082A7 , 010082AF;010082B0;010082B1;010082B2;010082B3;010082B4
