Name,ARMO Slots,ARMA Slots
Gloves,34;35,34
Backpack,48,
Cloak/Cape,51,
Arm Band L,42,
Arm Band R,43,
Leg Holster/Straps L,44,
Leg Holster/Straps R,45,
Leg Holster/Straps LR + Wrist Strap R,43;44;45,44;45
Belt,54,
Hat (Hair),30,
Hat (No Hair),30,
Hat w/Full Mask (Hair),30;46;47,30;46
Hat w/Full Mask (No Hair),30;46;47,30;31;46
Hat w/Eyewear (Hair),30;47,30
Hat w/Eyewear (No Hair),30;47,30
Sleeves,37;38,37
Arm Band LR,42;43,42
Body Jewelry,58,
Leg Holster/Straps LR,44;45,44
Kneecaps,49,
Earrings,46,
Shoulders,42;43,42
Harness,48,
Bracer R,43,
Armored Right Hand & Arm plus L Hand,34;35;43,34;35;43
"Gloves (Long, Underwear)",34;35;37;38,35;37
Elbow Pads,42;43,42
Shoes & Body,33,
